date,beer
2011-01-01,6673
2011-01-02,7978
2011-01-03,9474
2011-01-04,9668
2011-01-05,10184
2011-01-06,9764
2011-01-07,8986
2011-01-08,7516
2011-01-09,8449
2011-01-10,10681
2011-01-11,10213
2011-01-12,10204
2011-01-13,9983
2011-01-14,9110
2011-01-15,7922
2011-01-16,8827
2011-01-17,11740
2011-01-18,10207
2011-01-19,10137
2011-01-20,9584
2011-01-21,8615
2011-01-22,7637
2011-01-23,8753
2011-01-24,10808
2011-01-25,10072
2011-01-26,9455
2011-01-27,9359
2011-01-28,8295
2011-01-29,7160
2011-01-30,8021
2011-01-31,10520
2011-02-01,10546
2011-02-02,10528
2011-02-03,10454
2011-02-04,9693
2011-02-05,8445
2011-02-06,9229
2011-02-07,11816
2011-02-08,10470
2011-02-09,10273
2011-02-10,10050
2011-02-11,9160
2011-02-12,7351
2011-02-13,8961
2011-02-14,9710
2011-02-15,10547
2011-02-16,10011
2011-02-17,9952
2011-02-18,8902
2011-02-19,8124
2011-02-20,9015
2011-02-21,11207
2011-02-22,10262
2011-02-23,10329
2011-02-24,9465
2011-02-25,8876
2011-02-26,7882
2011-02-27,8634
2011-02-28,10722
2011-03-01,10863
2011-03-02,9983
2011-03-03,9969
2011-03-04,8995
2011-03-05,7771
2011-03-06,8532
2011-03-07,11166
2011-03-08,10222
2011-03-09,12246
2011-03-10,11260
2011-03-11,8614
2011-03-12,7389
2011-03-13,8522
2011-03-14,10796
2011-03-15,10417
2011-03-16,9347
2011-03-17,8978
2011-03-18,8148
2011-03-19,6570
2011-03-20,8039
2011-03-21,10362
2011-03-22,9723
2011-03-23,9395
2011-03-24,8884
2011-03-25,7977
2011-03-26,6947
2011-03-27,7829
2011-03-28,9840
2011-03-29,9887
2011-03-30,10047
2011-03-31,9168
2011-04-01,8254
2011-04-02,6587
2011-04-03,7404
2011-04-04,10464
2011-04-05,10153
2011-04-06,8707
2011-04-07,8346
2011-04-08,6963
2011-04-09,5716
2011-04-10,6640
2011-04-11,9791
2011-04-12,9178
2011-04-13,9177
2011-04-14,8397
2011-04-15,7546
2011-04-16,6366
2011-04-17,6779
2011-04-18,9347
2011-04-19,8138
2011-04-20,7818
2011-04-21,7036
2011-04-22,6270
2011-04-23,5436
2011-04-24,6039
2011-04-25,7300
2011-04-26,9338
2011-04-27,8582
2011-04-28,7668
2011-04-29,5555
2011-04-30,5898
2011-05-01,6740
2011-05-02,8381
2011-05-03,9279
2011-05-04,9086
2011-05-05,9059
2011-05-06,7838
2011-05-07,6888
2011-05-08,7857
2011-05-09,10141
2011-05-10,9476
2011-05-11,9746
2011-05-12,8938
2011-05-13,7984
2011-05-14,6632
2011-05-15,7843
2011-05-16,9986
2011-05-17,9991
2011-05-18,9297
2011-05-19,9351
2011-05-20,8830
2011-05-21,6713
2011-05-22,8553
2011-05-23,11213
2011-05-24,9600
2011-05-25,9015
